internalTaxonId,scientificName,name,language,main
119195196,Phyllastrephus icterinus,Icterine Greenbul,English,TRUE
119194033,Amazilia cyanifrons,Indigo-capped Hummingbird,English,TRUE
22732670,Poicephalus fuscicollis,Brown-necked Parrot,English,TRUE
22684831,Nestor notabilis,Kea,English,TRUE
103889855,Henicorhina anachoreta,Hermit Wood-wren,English,TRUE
22702426,Cranioleuca hellmayri,Streak-capped Spinetail,English,TRUE
22720966,Emberiza aureola,Yellow-breasted Bunting,English,TRUE
22735022,Sheppardia aurantiithorax,Rubeho Akalat,English,TRUE
22694447,Larus relictus,Gaviota de Mongolia,Spanish; Castilian,FALSE
22694447,Larus relictus,Gaviota Relicta,Spanish; Castilian,FALSE
22694447,Larus relictus,Relict Gull,English,TRUE
22679814,Oxyura leucocephala,Malvasía,Spanish; Castilian,FALSE
22679814,Oxyura leucocephala,Κεφαλούδι,"Greek, Modern (1453-)",FALSE
22679814,Oxyura leucocephala,White-headed Duck,English,TRUE
22697599,Pelecanus crispus,Pelícano Ceñudo,Spanish; Castilian,FALSE
22697599,Pelecanus crispus,Pelícano Rizado,Spanish; Castilian,FALSE
22697599,Pelecanus crispus,Dalmatian Pelican,English,TRUE
22690985,Gallicolumba platenae,Mindoro Bleeding-heart,English,TRUE
22705953,Corvus unicolor,Banggai Crow,English,TRUE
22718949,Ploceus melanocephalus,Yellow-backed Weaver,English,FALSE
22718949,Ploceus melanocephalus,Tisserin à tête noire,French,FALSE
22718949,Ploceus melanocephalus,Black-headed Weaver,English,TRUE
22735457,Eriocnemis isabellae,Gorgeted Puffleg,English,TRUE
22715078,Randia pseudozosterops,Fauvette de Rand,French,FALSE
22715078,Randia pseudozosterops,Rand's Warbler,English,TRUE
22714047,Zosterops rotensis,Rota Bridled White-eye,English,FALSE
22714047,Zosterops rotensis,Rota White-eye,English,TRUE
62290750,Charadrius obscurus,New Zealand Dotterel,English,FALSE
62290750,Charadrius obscurus,Southern New Zealand Dotterel,English,FALSE
62290750,Charadrius obscurus,Southern Red-breasted Plover,English,TRUE
22691030,Pampusana erythroptera,Polynesian Ground-dove,English,FALSE
22691030,Pampusana erythroptera,Polynesian Ground-Dove,English,FALSE
22691030,Pampusana erythroptera,Society Islands Ground-dove,English,FALSE
22691030,Pampusana erythroptera,White-collared Ground-dove,English,FALSE
22691030,Pampusana erythroptera,Polynesian Ground Dove,English,TRUE
22705959,Corvus kubaryi,Guam Crow,English,FALSE
22705959,Corvus kubaryi,Åga,Chamorro,FALSE
22705959,Corvus kubaryi,Mariana Crow,English,TRUE
103818534,Vidua interjecta,Exclamatory Paradise-whydah,English,TRUE
22697525,Threskiornis spinicollis,Straw-necked Ibis,English,TRUE
22685245,Strigops habroptilus,Owl Parrot,English,FALSE
22685245,Strigops habroptilus,Cacapo,Spanish; Castilian,FALSE
22685245,Strigops habroptilus,Kakapo,English,TRUE
22713436,Cisticola aberdare,Cisticole des Aberdares,French,FALSE
22713436,Cisticola aberdare,Aberdare Cisticola,English,TRUE
22692129,Bugeranus carunculatus,Grue caronculée,French,FALSE
22692129,Bugeranus carunculatus,Grulla Carunculada,Spanish; Castilian,FALSE
22692129,Bugeranus carunculatus,Grulla Zarzo,Spanish; Castilian,FALSE
22692129,Bugeranus carunculatus,Wattled Crane,English,TRUE
22692966,Mesitornis unicolor,Brown Roatelo,English,FALSE
22692966,Mesitornis unicolor,Mésite unicolore,French,FALSE
22692966,Mesitornis unicolor,Brown Mesite,English,TRUE
22692949,Mesitornis variegatus,White-breasted Roatelo,English,FALSE
22692949,Mesitornis variegatus,Mésite variée,French,FALSE
22692949,Mesitornis variegatus,White-breasted Mesite,English,TRUE
22697369,Phoeniconaias minor,Flamant nain,French,FALSE
22697369,Phoeniconaias minor,Flamenco Enano,Spanish; Castilian,FALSE
22697369,Phoeniconaias minor,Petit flamant,French,FALSE
22697369,Phoeniconaias minor,Lesser Flamingo,English,TRUE
22691896,Tetrax tetrax,Outarde canepetière,French,FALSE
22691896,Tetrax tetrax,Sisón,Spanish; Castilian,FALSE
22691896,Tetrax tetrax,Little Bustard,English,TRUE
22696201,Stephanoaetus coronatus,Crowned Eagle,English,FALSE
22696201,Stephanoaetus coronatus,Crowned Hawk-Eagle,English,FALSE
22696201,Stephanoaetus coronatus,Aigle couronné,French,FALSE
22696201,Stephanoaetus coronatus,Crowned Eagle,English,TRUE
22695613,Accipiter madagascariensis,Epervier de Madagascar,French,FALSE
22695613,Accipiter madagascariensis,Épervier de Madagascar,French,FALSE
22695613,Accipiter madagascariensis,Gavilán Malgache,Spanish; Castilian,FALSE
22695613,Accipiter madagascariensis,Madagascar Sparrowhawk,English,TRUE
22691924,Ardeotis arabs,Outarde arabe,French,FALSE
22691924,Ardeotis arabs,Arabian Bustard,English,TRUE
22682585,Bycanistes cylindricus,Brown-cheeked Hornbill,English,TRUE
22706710,Lobotos lobatus,Ghana Cuckoo-shrike,English,FALSE
22706710,Lobotos lobatus,Western Wattled Cuckoo-shrike,English,FALSE
22706710,Lobotos lobatus,Echenilleur à barbillans,French,FALSE
