internalTaxonId,scientificName,kingdomName,phylumName,className,orderName,familyName,genusName,speciesName,infraType,infraName,infraAuthority,subpopulationName,authority,taxonomicNotes
22702344,Synallaxis hellmayri,ANIMALIA,CHORDATA,AVES,PASSERIFORMES,FURNARIIDAE,Synallaxis,hellmayri,,,,,"Reiser, 1905",<em>Synallaxis hellmayr</em>i (del Hoyo and   Collar 2016) was previously listed as <em>Gyalophylax   hellmayri.</em>
22686296,Amazona brasiliensis,ANIMALIA,CHORDATA,AVES,PSITTACIFORMES,PSITTACIDAE,Amazona,brasiliensis,,,,,"(Linnaeus, 1758)",
22707901,Batis minima,ANIMALIA,CHORDATA,AVES,PASSERIFORMES,PLATYSTEIRIDAE,Batis,minima,,,,,"(Verreaux & Verreaux, 1855)",
22706626,Malindangia mcgregori,ANIMALIA,CHORDATA,AVES,PASSERIFORMES,CAMPEPHAGIDAE,Malindangia,mcgregori,,,,,"(Mearns, 1907)",<p><em>Malindangia mcgregori </em>(del Hoyo and Collar 2016) was previously listed as <em>Coracina mcgregori</em>.</p>  <p>&#160;</p>
22707747,Malaconotus alius,ANIMALIA,CHORDATA,AVES,PASSERIFORMES,MALACONOTIDAE,Malaconotus,alius,,,,,"Friedmann, 1927",
22706140,Semioptera wallacii,ANIMALIA,CHORDATA,AVES,PASSERIFORMES,PARADISAEIDAE,Semioptera,wallacii,,,,,"Gould, 1859",
22714852,Acrocephalus brevipennis,ANIMALIA,CHORDATA,AVES,PASSERIFORMES,ACROCEPHALIDAE,Acrocephalus,brevipennis,,,,,"(Keulemans, 1866)",
22709415,Ficedula nigrorufa,ANIMALIA,CHORDATA,AVES,PASSERIFORMES,MUSCICAPIDAE,Ficedula,nigrorufa,,,,,"(Jerdon, 1839)",
22709449,Eumyias albicaudatus,ANIMALIA,CHORDATA,AVES,PASSERIFORMES,MUSCICAPIDAE,Eumyias,albicaudatus,,,,,"Jerdon, 1840",
22716655,Kupeornis gilberti,ANIMALIA,CHORDATA,AVES,PASSERIFORMES,LEIOTRICHIDAE,Kupeornis,gilberti,,,,,"Serle, 1949",
