internalTaxonId,scientificName,kingdomName,phylumName,className,orderName,familyName,genusName,speciesName,infraType,infraName,infraAuthority,subpopulationName,authority,taxonomicNotes
22678265,Nothoprocta perdicaria,ANIMALIA,CHORDATA,AVES,STRUTHIONIFORMES,TINAMIDAE,Nothoprocta,perdicaria,,,,,"(Kittlitz, 1830)",
22678429,Pipile jacutinga,ANIMALIA,CHORDATA,AVES,GALLIFORMES,CRACIDAE,Pipile,jacutinga,,,,,"(Spix, 1825)",
22678611,Megapodius eremita,ANIMALIA,CHORDATA,AVES,GALLIFORMES,MEGAPODIIDAE,Megapodius,eremita,,,,,"Hartlaub, 1867",
22678673,Tetraogallus himalayensis,ANIMALIA,CHORDATA,AVES,GALLIFORMES,PHASIANIDAE,Tetraogallus,himalayensis,,,,,"Gray, 1843",
22678823,Pternistis capensis,ANIMALIA,CHORDATA,AVES,GALLIFORMES,PHASIANIDAE,Pternistis,capensis,,,,,"(Gmelin, 1789)",Pternistis capensis (del Hoyo and Collar 2014) was previously placed in the genus Francolinus.
22678827,Pternistis hildebrandti,ANIMALIA,CHORDATA,AVES,GALLIFORMES,PHASIANIDAE,Pternistis,hildebrandti,,,,,"(Cabanis, 1878)",Pternistis hildebrandti (del Hoyo and Collar 2014) was previously placed in the genus Francolinus.
22678855,Pternistis afer,ANIMALIA,CHORDATA,AVES,GALLIFORMES,PHASIANIDAE,Pternistis,afer,,,,,"(Müller, 1776)",Pternistis afer (del Hoyo and Collar 2014) was previously placed in the genus Francolinus.
22678865,Pternistis erckelii,ANIMALIA,CHORDATA,AVES,GALLIFORMES,PHASIANIDAE,Pternistis,erckelii,,,,,"(Rüppell, 1835)",Pternistis erckelii (del Hoyo and Collar 2014) was previously placed in the genus Francolinus.
22678927,Margaroperdix madagarensis,ANIMALIA,CHORDATA,AVES,GALLIFORMES,PHASIANIDAE,Margaroperdix,madagarensis,,,,,"(Scopoli, 1786)",M. madagarensis (del Hoyo and Collar 2014) was previously listed as M. madagascariensis.
22679141,Ophrysia superciliosa,ANIMALIA,CHORDATA,AVES,GALLIFORMES,PHASIANIDAE,Ophrysia,superciliosa,,,,,"(Gray, 1846)",
22679398,Polyplectron napoleonis,ANIMALIA,CHORDATA,AVES,GALLIFORMES,PHASIANIDAE,Polyplectron,napoleonis,,,,,"Lesson, 1831",
22679525,Meleagris gallopavo,ANIMALIA,CHORDATA,AVES,GALLIFORMES,PHASIANIDAE,Meleagris,gallopavo,,,,,"Linnaeus, 1758",
22679555,Numida meleagris,ANIMALIA,CHORDATA,AVES,GALLIFORMES,NUMIDIDAE,Numida,meleagris,,,,,"(Linnaeus, 1758)",
22680021,Tadorna cristata,ANIMALIA,CHORDATA,AVES,ANSERIFORMES,ANATIDAE,Tadorna,cristata,,,,,"(Kuroda, 1917)",
22680485,Mergus serrator,ANIMALIA,CHORDATA,AVES,ANSERIFORMES,ANATIDAE,Mergus,serrator,,,,,"Linnaeus, 1758",
22680492,Mergus merganser,ANIMALIA,CHORDATA,AVES,ANSERIFORMES,ANATIDAE,Mergus,merganser,,,,,"Linnaeus, 1758",
22681114,Leiopicus medius,ANIMALIA,CHORDATA,AVES,PICIFORMES,PICIDAE,Leiopicus,medius,,,,,"(Linnaeus, 1758)",Leiopicus medius (del Hoyo and Collar 2014) was previously placed in the genus Dendrocopos.
22684567,Trichoglossus chlorolepidotus,ANIMALIA,CHORDATA,AVES,PSITTACIFORMES,PSITTACIDAE,Trichoglossus,chlorolepidotus,,,,,"(Kuhl, 1820)",
22684647,Vini ultramarina,ANIMALIA,CHORDATA,AVES,PSITTACIFORMES,PSITTACIDAE,Vini,ultramarina,,,,,"(Kuhl, 1820)",
22684828,Nymphicus hollandicus,ANIMALIA,CHORDATA,AVES,PSITTACIFORMES,CACATUIDAE,Nymphicus,hollandicus,,,,,"(Kerr, 1792)",
22685009,Tanygnathus lucionensis,ANIMALIA,CHORDATA,AVES,PSITTACIFORMES,PSITTACIDAE,Tanygnathus,lucionensis,,,,,"(Linnaeus, 1766)",
22685041,Prosopeia tabuensis,ANIMALIA,CHORDATA,AVES,PSITTACIFORMES,PSITTACIDAE,Prosopeia,tabuensis,,,,,"(Gmelin, 1788)",
22685223,Melopsittacus undulatus,ANIMALIA,CHORDATA,AVES,PSITTACIFORMES,PSITTACIDAE,Melopsittacus,undulatus,,,,,"(Shaw, 1805)",
22685648,Psittacara acuticaudatus,ANIMALIA,CHORDATA,AVES,PSITTACIFORMES,PSITTACIDAE,Psittacara,acuticaudatus,,,,,"(Vieillot, 1818)",Psittacara acuticaudatus (del Hoyo and Collar 2014) was previously placed in the genus Aratinga as A. acuticaudata.
22685669,Psittacara mitratus,ANIMALIA,CHORDATA,AVES,PSITTACIFORMES,PSITTACIDAE,Psittacara,mitratus,,,,,"(Tschudi, 1844)",Psittacara mitratus (del Hoyo and Collar 2014) was previously placed in the genus Aratinga as A. mitrata.
22688470,Tyto aurantia,ANIMALIA,CHORDATA,AVES,STRIGIFORMES,TYTONIDAE,Tyto,aurantia,,,,,"(Salvadori, 1881)","Closely related to T. novaehollandiae, T. nigrobrunnea and T. inexspectata. Monotypic."
22689480,Ninox odiosa,ANIMALIA,CHORDATA,AVES,STRIGIFORMES,STRIGIDAE,Ninox,odiosa,,,,,"Sclater, 1877",Monotypic.
