assessmentId,internalTaxonId,scientificName,kingdomName,phylumName,orderName,className,familyName,genusName,speciesName,infraType,infraName,infraAuthority,authority,redlistCategory,redlistCriteria,criteriaVersion,populationTrend,scopes
217196883,219584015,Threnetes leucurus,ANIMALIA,CHORDATA,CAPRIMULGIFORMES,AVES,TROCHILIDAE,Threnetes,leucurus,,,,"(Linnaeus, 1766)",Least Concern,,3.1,Decreasing,Global
217198228,22710287,Oenanthe lugubris,ANIMALIA,CHORDATA,PASSERIFORMES,AVES,MUSCICAPIDAE,Oenanthe,lugubris,,,,"(Rüppell, 1837)",Least Concern,,3.1,Stable,Global
217198858,216915109,Cyornis whitei,ANIMALIA,CHORDATA,PASSERIFORMES,AVES,MUSCICAPIDAE,Cyornis,whitei,,,,"Harington, 1908",Least Concern,,3.1,Decreasing,Global
217208682,219586279,Chalybura buffonii,ANIMALIA,CHORDATA,CAPRIMULGIFORMES,AVES,TROCHILIDAE,Chalybura,buffonii,,,,"(Lesson, 1832)",Least Concern,,3.1,Decreasing,Global
217216169,216552569,Melanocharis citreola,ANIMALIA,CHORDATA,PASSERIFORMES,AVES,MELANOCHARITIDAE,Melanocharis,citreola,,,,"Milá, Ashari &amp; Thébaud, 2021",Least Concern,,3.1,Stable,Global
217222538,216709635,Bubo milesi,ANIMALIA,CHORDATA,STRIGIFORMES,AVES,STRIGIDAE,Bubo,milesi,,,,"Sharpe, 1886",Least Concern,,3.1,Stable,Global
217222733,216914363,Locustella castanea,ANIMALIA,CHORDATA,PASSERIFORMES,AVES,LOCUSTELLIDAE,Locustella,castanea,,,,"(Büttikofer, 1893)",Least Concern,,3.1,Stable,Global
217256873,62291168,Charadrius aquilonius,ANIMALIA,CHORDATA,CHARADRIIFORMES,AVES,CHARADRIIDAE,Charadrius,aquilonius,,,,"Dowding, 1994",Least Concern,,3.1,Increasing,Global
217265541,22694103,Rhinoptilus bitorquatus,ANIMALIA,CHORDATA,CHARADRIIFORMES,AVES,GLAREOLIDAE,Rhinoptilus,bitorquatus,,,,"(Blyth, 1848)",Critically Endangered,D,3.1,Unknown,Global
217283387,216915583,Zosterops chloris,ANIMALIA,CHORDATA,PASSERIFORMES,AVES,ZOSTEROPIDAE,Zosterops,chloris,,,,"Bonaparte, 1850",Least Concern,,3.1,Decreasing,Global
217283844,216914705,Locustella musculus,ANIMALIA,CHORDATA,PASSERIFORMES,AVES,LOCUSTELLIDAE,Locustella,musculus,,,,"(Stresemann, 1914)",Least Concern,,3.1,Stable,Global
217291786,216914903,Locustella disturbans,ANIMALIA,CHORDATA,PASSERIFORMES,AVES,LOCUSTELLIDAE,Locustella,disturbans,,,,"(Hartert, E., 1900)",Least Concern,,3.1,Stable,Global
217350624,216552510,Myzomela prawiradilagae,ANIMALIA,CHORDATA,PASSERIFORMES,AVES,MELIPHAGIDAE,Myzomela,prawiradilagae,,,,"Irham et al., 2020",Vulnerable,"B1ab(ii,iii,iv)+2ab(ii,iii,iv)",3.1,Decreasing,Global
217377735,22697353,Botaurus poiciloptilus,ANIMALIA,CHORDATA,PELECANIFORMES,AVES,ARDEIDAE,Botaurus,poiciloptilus,,,,"(Wagler, 1827)",Vulnerable,C2a(i),3.1,Decreasing,Global
217379957,216710532,Pitta elegans,ANIMALIA,CHORDATA,PASSERIFORMES,AVES,PITTIDAE,Pitta,elegans,,,,"Temminck, 1836",Least Concern,,3.1,Decreasing,Global
